symbol,name,last_price,latest_date
000989.SZ,九芝堂,7.98,2026-06-29
000990.SZ,诚志股份,8.24,2026-06-29
000993.SZ,闽东电力,9.86,2026-06-29
000995.SZ,皇台酒业,9.67,2026-06-29
000997.SZ,新 大 陆,15.75,2026-06-29
000998.SZ,隆平高科,7.63,2026-06-29
000999.SZ,华润三九,23.25,2026-06-29
001201.SZ,东瑞股份,10.9,2026-06-29
001202.SZ,炬申股份,13.47,2026-06-29
001203.SZ,大中矿业,30.13,2026-06-29
001205.SZ,盛航股份,13.86,2026-06-29
001206.SZ,依依股份,20.31,2026-06-29
001207.SZ,联科科技,15.68,2026-06-29
001208.SZ,华菱线缆,13.89,2026-06-29
001209.SZ,洪兴股份,16.22,2026-06-29
001210.SZ,金房能源,22.45,2026-06-29
001211.SZ,双枪科技,24.5,2026-06-29
001213.SZ,中铁特货,3.45,2026-06-29
001215.SZ,千味央厨,35.25,2026-06-29
001216.SZ,华瓷股份,14.7,2026-06-29
001217.SZ,华尔泰,8.56,2026-06-29
001218.SZ,丽臣实业,22.61,2026-06-29
001219.SZ,青岛食品,11.65,2026-06-29
001220.SZ,世盟股份,28.32,2026-06-29
001222.SZ,源飞宠物,13.46,2026-06-29
001225.SZ,和泰机电,39.26,2026-06-29
001227.SZ,兰州银行,2.02,2026-06-29
001228.SZ,永泰运,25.68,2026-06-29
001229.SZ,魅视科技,33.02,2026-06-29
001230.SZ,劲旅环境,15.64,2026-06-29
001231.SZ,农心科技,18.33,2026-06-29
001234.SZ,泰慕士,19.98,2026-06-29
001236.SZ,弘业期货,6.89,2026-06-29
001238.SZ,浙江正特,27.22,2026-06-29
001239.SZ,永达股份,13.34,2026-06-29
001255.SZ,博菲电气,25.55,2026-06-29
001256.SZ,炜冈科技,26.49,2026-06-29
001257.SZ,盛龙股份,29.22,2026-06-29
001258.SZ,立新能源,7.0,2026-06-29
001260.SZ,坤泰股份,15.77,2026-06-29
001268.SZ,联合精密,35.96,2026-06-29
001269.SZ,欧晶科技,20.8,2026-06-29
001277.SZ,速达股份,27.91,2026-06-29
001278.SZ,一彬科技,15.32,2026-06-29
001279.SZ,强邦新材,26.98,2026-06-29
001282.SZ,三联锻造,20.9,2026-06-29
001286.SZ,陕西能源,10.46,2026-06-29
001287.SZ,中电港,29.09,2026-06-29
001288.SZ,运机集团,24.18,2026-06-29
001289.SZ,龙源电力,16.12,2026-06-29
001296.SZ,长江材料,19.2,2026-06-29
001298.SZ,好上好,19.67,2026-06-29
001299.SZ,美能能源,9.97,2026-06-29
001300.SZ,三柏硕,11.39,2026-06-29
001308.SZ,康冠科技,19.83,2026-06-29
001311.SZ,多利科技,16.07,2026-06-29
001312.SZ,福恩股份,18.59,2026-06-29
001313.SZ,粤海饲料,7.07,2026-06-29
001316.SZ,润贝航科,32.11,2026-06-29
001317.SZ,三羊马,39.01,2026-06-29
001318.SZ,阳光乳业,10.08,2026-06-29
001319.SZ,铭科精技,19.35,2026-06-29
001322.SZ,箭牌家居,6.3,2026-06-29
001323.SZ,慕思股份,16.18,2026-06-29
001324.SZ,长青科技,17.93,2026-06-29
001325.SZ,元创股份,35.04,2026-06-29
001328.SZ,登康口腔,26.54,2026-06-29
001330.SZ,博纳影业,5.7,2026-06-29
001332.SZ,锡装股份,39.21,2026-06-29
001333.SZ,光华股份,18.51,2026-06-29
001336.SZ,楚环科技,22.11,2026-06-29
001337.SZ,四川黄金,36.96,2026-06-29
001338.SZ,永顺泰,8.59,2026-06-29
001356.SZ,富岭股份,8.35,2026-06-29
001358.SZ,兴欣新材,23.49,2026-06-29
001360.SZ,南矿集团,17.92,2026-06-29
001365.SZ,天海电子,37.8,2026-06-29
001366.SZ,播恩集团,11.05,2026-06-29
001367.SZ,海森药业,18.88,2026-06-29
001368.SZ,通达创智,20.81,2026-06-29
001369.SZ,双欣材料,13.45,2026-06-29
001373.SZ,翔腾新材,29.33,2026-06-29
001376.SZ,百通能源,10.33,2026-06-29
001378.SZ,德冠新材,18.16,2026-06-29
001379.SZ,腾达科技,15.69,2026-06-29
001380.SZ,华纬科技,15.53,2026-06-29
001382.SZ,新亚电缆,15.78,2026-06-29
001386.SZ,马可波罗,14.44,2026-06-29
001387.SZ,雪祺电气,12.5,2026-06-29
001388.SZ,信通电子,27.12,2026-06-29
001390.SZ,古麒绒材,19.92,2026-06-29
001391.SZ,国货航,4.12,2026-06-29
001395.SZ,亚联机械,23.28,2026-06-29
001396.SZ,誉帆科技,34.4,2026-06-29
001399.SZ,C惠科股份,34.66,2026-06-29
001696.SZ,宗申动力,21.96,2026-06-29
001872.SZ,招商港口,20.03,2026-06-29
001896.SZ,豫能控股,16.67,2026-06-29
001914.SZ,招商积余,8.36,2026-06-29
001965.SZ,招商公路,9.5,2026-06-29
001979.SZ,招商蛇口,6.52,2026-06-29
002001.SZ,新 和 成,29.45,2026-06-29
002003.SZ,伟星股份,8.42,2026-06-29
002004.SZ,华邦健康,4.04,2026-06-29
002006.SZ,精工科技,14.03,2026-06-29
002007.SZ,华兰生物,12.68,2026-06-29
002009.SZ,天奇股份,18.8,2026-06-29
002010.SZ,传化智联,4.56,2026-06-29
002011.SZ,盾安环境,10.48,2026-06-29
002012.SZ,凯恩股份,6.41,2026-06-29
002014.SZ,永新股份,10.7,2026-06-29
002015.SZ,协鑫能科,16.3,2026-06-29
002016.SZ,世荣兆业,4.06,2026-06-29
002017.SZ,东信和平,14.44,2026-06-29
002019.SZ,亿帆医药,9.7,2026-06-29
002020.SZ,京新药业,12.63,2026-06-29
002021.SZ,中捷资源,2.49,2026-06-29
002022.SZ,科华生物,4.69,2026-06-29
002023.SZ,海特高新,12.55,2026-06-29
002026.SZ,山东威达,10.66,2026-06-29
002027.SZ,分众传媒,4.82,2026-06-29
002029.SZ,七 匹 狼,7.56,2026-06-29
002030.SZ,达安基因,5.09,2026-06-29
002031.SZ,巨轮智能,5.34,2026-06-29
002033.SZ,丽江股份,8.3,2026-06-29
002034.SZ,旺能环境,14.96,2026-06-29
002035.SZ,华帝股份,4.55,2026-06-29
002036.SZ,联创电子,6.88,2026-06-29
002037.SZ,保利联合,6.19,2026-06-29
002038.SZ,双鹭药业,5.58,2026-06-29
002039.SZ,黔源电力,19.17,2026-06-29
002040.SZ,南 京 港,7.53,2026-06-29
002041.SZ,登海种业,8.06,2026-06-29
002042.SZ,华孚时尚,3.34,2026-06-29
002043.SZ,兔 宝 宝,11.11,2026-06-29
002044.SZ,美年健康,5.12,2026-06-29
002045.SZ,国光电器,7.76,2026-06-29
002047.SZ,宝鹰股份,4.77,2026-06-29
002048.SZ,宁波华翔,21.98,2026-06-29
002051.SZ,中工国际,11.99,2026-06-29
002052.SZ,同洲电子,7.76,2026-06-29
002053.SZ,云南能投,8.94,2026-06-29
002054.SZ,德美化工,6.78,2026-06-29
002056.SZ,横店东磁,28.83,2026-06-29
002057.SZ,中钢天源,11.6,2026-06-29
002058.SZ,威尔泰,20.08,2026-06-29
002059.SZ,云南旅游,4.18,2026-06-29
002060.SZ,广东建工,3.06,2026-06-29
002061.SZ,浙江交科,3.35,2026-06-29
002062.SZ,宏润建设,7.15,2026-06-29
002063.SZ,远光软件,4.99,2026-06-29
002064.SZ,华峰化学,10.05,2026-06-29
002065.SZ,东华软件,6.94,2026-06-29
002066.SZ,瑞泰科技,20.7,2026-06-29
002067.SZ,景兴纸业,3.68,2026-06-29
002068.SZ,黑猫股份,14.41,2026-06-29
002069.SZ,獐子岛,3.01,2026-06-29
002072.SZ,凯瑞德,8.33,2026-06-29
002073.SZ,软控股份,5.11,2026-06-29
002074.SZ,国轩高科,26.99,2026-06-29
002075.SZ,沙钢股份,3.42,2026-06-29
002076.SZ,星光股份,2.29,2026-06-29
002077.SZ,大港股份,18.42,2026-06-29
002078.SZ,太阳纸业,12.39,2026-06-29
002079.SZ,苏州固锝,14.45,2026-06-29
002081.SZ,金 螳 螂,4.46,2026-06-29
002083.SZ,孚日股份,10.48,2026-06-29
002084.SZ,海鸥住工,3.43,2026-06-29
002085.SZ,万丰奥威,10.92,2026-06-29
002088.SZ,鲁阳节能,8.19,2026-06-29
