symbol,industry_name,industry_code,updated_at,source
002442.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:16.069078,cninfo_industry_change
002445.SZ,金属制品业,C33,2026-03-18T23:31:16.111069,cninfo_industry_change
002397.SZ,纺织业,C17,2026-03-18T23:31:16.213103,cninfo_industry_change
002286.SZ,农副食品加工业,C13,2026-03-18T23:31:16.296317,cninfo_industry_change
002451.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:16.331479,cninfo_industry_change
002400.SZ,商务服务业,L72,2026-03-18T23:31:16.352044,cninfo_industry_change
002408.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:16.399503,cninfo_industry_change
002452.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:16.483225,cninfo_industry_change
002453.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:16.526645,cninfo_industry_change
002456.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:16.618545,cninfo_industry_change
002298.SZ,电气部件与设备,Z03010301,2026-03-18T23:31:16.672317,cninfo_industry_change
002457.SZ,非金属矿物制品业,C30,2026-03-18T23:31:16.694439,cninfo_industry_change
002416.SZ,批发业,F51,2026-03-18T23:31:16.718211,cninfo_industry_change
002458.SZ,畜牧业,A03,2026-03-18T23:31:16.774949,cninfo_industry_change
002460.SZ,有色金属冶炼和压延加工业,C32,2026-03-18T23:31:16.921701,cninfo_industry_change
002462.SZ,批发业,F51,2026-03-18T23:31:16.938874,cninfo_industry_change
002463.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:16.992975,cninfo_industry_change
002427.SZ,化学纤维制造业,C28,2026-03-18T23:31:17.000784,cninfo_industry_change
002313.SZ,通信终端设备及组件,50201010,2026-03-18T23:31:17.031950,cninfo_industry_change
002426.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:17.043943,cninfo_industry_change
002466.SZ,有色金属冶炼和压延加工业,C32,2026-03-18T23:31:17.137890,cninfo_industry_change
002320.SZ,水上运输业,G55,2026-03-18T23:31:17.182876,cninfo_industry_change
002467.SZ,互联网和相关服务,I64,2026-03-18T23:31:17.223633,cninfo_industry_change
002470.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:17.283516,cninfo_industry_change
002432.SZ,专用设备制造业,C35,2026-03-18T23:31:17.327171,cninfo_industry_change
002472.SZ,汽车系统部件,25101010,2026-03-18T23:31:17.422764,cninfo_industry_change
002474.SZ,软件和信息技术服务业,I65,2026-03-18T23:31:17.492652,cninfo_industry_change
002475.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:17.502442,cninfo_industry_change
002331.SZ,软件和信息技术服务业,I65,2026-03-18T23:31:17.539941,cninfo_industry_change
