symbol,avg_turnover,avg_intraday_range,avg_abs_ret1,n_days,latest_close,is_st_symbol,passes,liq_rank,stability_rank,range_rank,price_rank,pool_score
601699.SH,680670379.1,0.03983965545040679,0.020168749180465555,60,13.41,False,True,0.7029702970297029,0.38283828382838286,0.4570957095709571,0.39603960396039606,0.5406765676567657
600619.SH,1649216613.3333333,0.05922823622143439,0.03309351357820916,60,19.81,False,True,0.21122112211221122,0.9570957095709571,0.9603960396039604,0.5495049504950495,0.5404290429042904
600885.SH,786378323.4833333,0.037870882881135465,0.019820331758679578,60,30.01,False,True,0.5825082508250825,0.3547854785478548,0.4042904290429043,0.7326732673267327,0.5402640264026403
000728.SZ,501657081.05,0.022833437800534265,0.012859785859403868,60,8.4,False,True,0.9983498349834984,0.15676567656765678,0.12211221122112212,0.20627062706270627,0.5401815181518153
000558.SZ,748088755.2,0.04682259097858766,0.025878149091293594,60,5.5,False,True,0.6254125412541254,0.6947194719471947,0.6765676567656765,0.09075907590759076,0.540016501650165
000426.SZ,1957576834.6,0.05398177894304442,0.032350338235246336,60,31.58,False,True,0.15841584158415842,0.9356435643564357,0.8795379537953796,0.7475247524752475,0.5398514851485149
002165.SZ,597626214.9833333,0.037875548744146136,0.01836764337021154,60,8.45,False,True,0.8333333333333334,0.30363036303630364,0.40594059405940597,0.20874587458745875,0.5383663366336633
002941.SZ,1055380184.8333334,0.04890040177861687,0.025812902604186432,60,16.12,False,True,0.42244224422442245,0.6914191419141914,0.7524752475247525,0.47029702970297027,0.5353135313531353
000676.SZ,635066734.9833333,0.037985601858294686,0.021018827397909095,60,8.89,False,True,0.759075907590759,0.4306930693069307,0.4075907590759076,0.22937293729372937,0.5347359735973597
002812.SZ,2151727485.8166666,0.055868656758956955,0.028019354337809516,60,61.89,False,True,0.13696369636963696,0.7755775577557755,0.9108910891089109,0.9042904290429042,0.5342409240924093
000818.SZ,656538393.7166667,0.030470945408707963,0.016937894868076214,60,21.33,False,True,0.7326732673267327,0.264026402640264,0.22442244224422442,0.5825082508250825,0.5326732673267327
000875.SZ,536045722.8333333,0.03311374670056478,0.016794853495110347,60,5.72,False,True,0.933993399339934,0.2590759075907591,0.2706270627062706,0.09900990099009901,0.5325082508250826
601998.SH,501983408.73333335,0.023803107630582746,0.01157353285981216,60,7.96,False,True,0.9966996699669967,0.12706270627062707,0.132013201320132,0.18976897689768976,0.5316831683168317
600556.SH,813969986.4333333,0.04916116702380192,0.026703384814149304,60,6.2,False,True,0.5528052805280528,0.7277227722772277,0.7623762376237624,0.11468646864686469,0.5316006600660066
002173.SZ,1592397252.6833334,0.059244661194758574,0.030252147476523755,60,21.06,False,True,0.22277227722772278,0.8597359735973598,0.9620462046204621,0.5742574257425742,0.5313531353135313
603881.SH,2098518787.9666667,0.055187173722102155,0.030648025206990177,60,34.73,False,True,0.1419141914191419,0.8828382838283828,0.900990099009901,0.7755775577557755,0.5306930693069307
002747.SZ,769024488.4333333,0.03860902151766734,0.01999387648225237,60,21.85,False,True,0.6039603960396039,0.3712871287128713,0.4240924092409241,0.5957095709570958,0.5287953795379539
